Time,hash_rate_via_BTC
2021-02-26,149558390.99271905
2021-02-27,149558390.99271905
2021-02-28,156124507.79885778
2021-03-01,156124507.79885778
2021-03-02,156124507.79885778
2021-03-03,156124507.79885778
2021-03-04,155507414.88265678
2021-03-05,155507414.88265678
2021-03-06,155507414.88265678
2021-03-07,155507414.88265678
2021-03-08,153716875.77834648
2021-03-09,153716875.77834648
2021-03-10,153716875.77834648
2021-03-11,153716875.77834648
2021-03-12,156136781.5795335
2021-03-13,156136781.5795335
2021-03-14,156136781.5795335
2021-03-15,156136781.5795335
2021-03-16,155208209.19067955
2021-03-17,155208209.19067955
2021-03-18,155208209.19067955
2021-03-19,155208209.19067955
2021-03-20,157420617.6912914
2021-03-21,157420617.6912914
2021-03-22,157420617.6912914
2021-03-23,157420617.6912914
2021-03-24,163071647.62666968
2021-03-25,163071647.62666968
2021-03-26,163071647.62666968
2021-03-27,163071647.62666968
2021-03-28,165991691.17627487
2021-03-29,165991691.17627487
2021-03-30,165991691.17627487
2021-03-31,165991691.17627487
2021-04-01,164904748.39027494
2021-04-02,164904748.39027494
2021-04-03,164904748.39027494
2021-04-04,164904748.39027494
2021-04-05,161456161.73214817
2021-04-06,161456161.73214817
2021-04-07,161456161.73214817
2021-04-08,161456161.73214817
2021-04-09,165551986.66394418
2021-04-10,165551986.66394418
2021-04-11,165551986.66394418
2021-04-12,165551986.66394418
2021-04-13,169731988.62621096
2021-04-14,169731988.62621096
2021-04-15,169731988.62621096
2021-04-16,169731988.62621096
2021-04-17,164404171.24372485
2021-04-18,164404171.24372485
2021-04-19,164404171.24372485
2021-04-20,164404171.24372485
2021-04-21,141475361.29820356
2021-04-22,141475361.29820356
2021-04-23,141475361.29820356
2021-04-24,141475361.29820356
2021-04-25,146198398.6654064
2021-04-26,146198398.6654064
2021-04-27,146198398.6654064
2021-04-28,146198398.6654064
2021-04-29,161102931.86268154
2021-04-30,161102931.86268154
2021-05-01,161102931.86268154
2021-05-02,161102931.86268154
2021-05-03,161148443.24309963
2021-05-04,161148443.24309963
2021-05-05,161148443.24309963
2021-05-06,161148443.24309963
2021-05-07,174317609.61284044
2021-05-08,174317609.61284044
2021-05-09,174317609.61284044
2021-05-10,174317609.61284044
2021-05-11,178111649.39833212
2021-05-12,178111649.39833212
2021-05-13,178111649.39833212
2021-05-14,178111649.39833212
2021-05-15,179327827.5416231
2021-05-16,179327827.5416231
2021-05-17,179327827.5416231
2021-05-18,179327827.5416231
2021-05-19,160228122.6394345
2021-05-20,160228122.6394345
2021-05-21,160228122.6394345
2021-05-22,160228122.6394345
2021-05-23,145139314.78922963
2021-05-24,145139314.78922963
2021-05-25,145139314.78922963
2021-05-26,145139314.78922963
2021-05-27,147273716.47730657
2021-05-28,147273716.47730657
2021-05-29,147273716.47730657
2021-05-30,147273716.47730657
2021-05-31,150291730.25568312
2021-06-01,150291730.25568312
2021-06-02,150291730.25568312
2021-06-03,150291730.25568312
2021-06-04,152576708.79698002
2021-06-05,152576708.79698002
2021-06-06,152576708.79698002
2021-06-07,152576708.79698002
2021-06-08,149469765.97834077
2021-06-09,149469765.97834077
2021-06-10,149469765.97834077
2021-06-11,149469765.97834077
2021-06-12,136316426.57224676
2021-06-13,136316426.57224676
2021-06-14,136316426.57224676
2021-06-15,136316426.57224676
2021-06-16,129079871.70711638
2021-06-17,129079871.70711638
2021-06-18,129079871.70711638
2021-06-19,129079871.70711638
2021-06-20,125129902.82716677
2021-06-21,125129902.82716677
2021-06-22,125129902.82716677
2021-06-23,125129902.82716677
2021-06-24,107438013.15359342
2021-06-25,107438013.15359342
2021-06-26,107438013.15359342
2021-06-27,107438013.15359342
2021-06-28,93424359.26399422
2021-06-29,93424359.26399422
2021-06-30,93424359.26399422
2021-07-01,93424359.26399422
2021-07-02,87620724.82486732
2021-07-03,87620724.82486732
2021-07-04,87620724.82486732
2021-07-05,87620724.82486732
2021-07-06,90819460.5560025
2021-07-07,90819460.5560025
2021-07-08,90819460.5560025
2021-07-09,90819460.5560025
2021-07-10,93863737.36277008
2021-07-11,93863737.36277008
2021-07-12,93863737.36277008
2021-07-13,93863737.36277008
2021-07-14,95980639.4396812
2021-07-15,95980639.4396812
2021-07-16,95980639.4396812
2021-07-17,95980639.4396812
2021-07-18,99739876.71501002
2021-07-19,99739876.71501002
2021-07-20,99739876.71501002
2021-07-21,99739876.71501002
2021-07-22,99339154.93317965
2021-07-23,99339154.93317965
2021-07-24,99339154.93317965
2021-07-25,99339154.93317965
2021-07-26,100202533.56699017
2021-07-27,100202533.56699017
2021-07-28,100202533.56699017
2021-07-29,100202533.56699017
2021-07-30,104766021.0453318
2021-07-31,104766021.0453318
2021-08-01,104766021.0453318
2021-08-02,104766021.0453318
2021-08-03,110044864.56184068
2021-08-04,110044864.56184068
2021-08-05,110044864.56184068
2021-08-06,110044864.56184068
2021-08-07,110879828.6605434
2021-08-08,110879828.6605434
2021-08-09,110879828.6605434
2021-08-10,110879828.6605434
2021-08-11,112931775.0166298
2021-08-12,112931775.0166298
2021-08-13,112931775.0166298
2021-08-14,112931775.0166298
2021-08-15,113148142.62570126
2021-08-16,113148142.62570126
2021-08-17,113148142.62570126
2021-08-18,113148142.62570126
2021-08-19,120921930.17512046
2021-08-20,120921930.17512046
2021-08-21,120921930.17512046
2021-08-22,120921930.17512046
2021-08-23,123285733.74419063
2021-08-24,123285733.74419063
2021-08-25,123285733.74419063
2021-08-26,123285733.74419063
2021-08-27,130281220.63377182
2021-08-28,130281220.63377182
2021-08-29,130281220.63377182
2021-08-30,130281220.63377182
2021-08-31,126249208.85984442
2021-09-01,126249208.85984442
2021-09-02,126249208.85984442
2021-09-03,126249208.85984442
2021-09-04,126343503.19093786
2021-09-05,126343503.19093786
2021-09-06,126343503.19093786
2021-09-07,126343503.19093786
2021-09-08,134849798.45527822
2021-09-09,134849798.45527822
2021-09-10,134849798.45527822
2021-09-11,134849798.45527822
2021-09-12,134785023.05355358
2021-09-13,134785023.05355358
2021-09-14,134785023.05355358
2021-09-15,134785023.05355358
2021-09-16,135613291.5168814
2021-09-17,135613291.5168814
2021-09-18,135613291.5168814
2021-09-19,135613291.5168814
2021-09-20,139536530.42286643
2021-09-21,139536530.42286643
2021-09-22,139536530.42286643
2021-09-23,139536530.42286643
2021-09-24,138478902.6366636
2021-09-25,138478902.6366636
2021-09-26,138478902.6366636
2021-09-27,138478902.6366636
2021-09-28,135671902.50093386
2021-09-29,135671902.50093386
2021-09-30,135671902.50093386
2021-10-01,135671902.50093386
2021-10-02,139093368.32525793
2021-10-03,139093368.32525793
2021-10-04,139093368.32525793
2021-10-05,139093368.32525793
2021-10-06,149322865.8079602
2021-10-07,149322865.8079602
2021-10-08,149322865.8079602
2021-10-09,149322865.8079602
2021-10-10,141032003.29279727
2021-10-11,141032003.29279727
2021-10-12,141032003.29279727
2021-10-13,141032003.29279727
2021-10-14,143953931.02118438
2021-10-15,143953931.02118438
2021-10-16,143953931.02118438
2021-10-17,143953931.02118438
2021-10-18,144095200.82591566
2021-10-19,144095200.82591566
2021-10-20,144095200.82591566
2021-10-21,144095200.82591566
2021-10-22,146706531.95442763
2021-10-23,146706531.95442763
2021-10-24,146706531.95442763
2021-10-25,146706531.95442763
2021-10-26,155450273.37765488
2021-10-27,155450273.37765488
2021-10-28,155450273.37765488
2021-10-29,155450273.37765488
2021-10-30,158445186.90144458
2021-10-31,158445186.90144458
2021-11-01,158445186.90144458
2021-11-02,158445186.90144458
2021-11-03,157794954.1316647
2021-11-04,157794954.1316647
2021-11-05,157794954.1316647
2021-11-06,157794954.1316647
2021-11-07,161379304.1724988
2021-11-08,161379304.1724988
2021-11-09,161379304.1724988
2021-11-10,161379304.1724988
2021-11-11,160119462.62869972
2021-11-12,160119462.62869972
2021-11-13,160119462.62869972
2021-11-14,160119462.62869972
2021-11-15,161753319.40522012
2021-11-16,161753319.40522012
2021-11-17,161753319.40522012
2021-11-18,161753319.40522012
2021-11-19,166034035.61704582
2021-11-20,166034035.61704582
2021-11-21,166034035.61704582
2021-11-22,166034035.61704582
2021-11-23,160697678.0375032
2021-11-24,160697678.0375032
2021-11-25,160697678.0375032
2021-11-26,160697678.0375032
2021-11-27,156028106.23080215
2021-11-28,156028106.23080215
2021-11-29,156028106.23080215
2021-11-30,156028106.23080215
2021-12-01,156604715.81627068
2021-12-02,156604715.81627068
2021-12-03,156604715.81627068
2021-12-04,156604715.81627068
2021-12-05,163660443.37358636
2021-12-06,163660443.37358636
2021-12-07,163660443.37358636
2021-12-08,163660443.37358636
2021-12-09,180504950.22444588
2021-12-10,180504950.22444588
2021-12-11,180504950.22444588
2021-12-12,180504950.22444588
2021-12-13,178175819.66922092
2021-12-14,178175819.66922092
2021-12-15,178175819.66922092
2021-12-16,178175819.66922092
2021-12-17,167608149.67714044
2021-12-18,167608149.67714044
2021-12-19,167608149.67714044
2021-12-20,167608149.67714044
2021-12-21,167354661.33481413
2021-12-22,167354661.33481413
2021-12-23,167354661.33481413
2021-12-24,167354661.33481413
2021-12-25,177492161.35406885
2021-12-26,177492161.35406885
2021-12-27,177492161.35406885
2021-12-28,177492161.35406885
2021-12-29,174504391.82377318
2021-12-30,174504391.82377318
2021-12-31,174504391.82377318
2022-01-01,174504391.82377318
2022-01-02,172541536.0396956
2022-01-03,172541536.0396956
2022-01-04,172541536.0396956
2022-01-05,172541536.0396956
2022-01-06,178402087.71337157
2022-01-07,178402087.71337157
2022-01-08,178402087.71337157
2022-01-09,178402087.71337157
2022-01-10,173918482.77553186
2022-01-11,173918482.77553186
2022-01-12,173918482.77553186
2022-01-13,173918482.77553186
2022-01-14,180388266.9640267
2022-01-15,180388266.9640267
2022-01-16,180388266.9640267
2022-01-17,180388266.9640267
2022-01-18,196787486.4667856
2022-01-19,196787486.4667856
2022-01-20,196787486.4667856
2022-01-21,196787486.4667856
2022-01-22,194677774.9425014
2022-01-23,194677774.9425014
2022-01-24,194677774.9425014
2022-01-25,194677774.9425014
2022-01-26,193426935.944432
2022-01-27,193426935.944432
2022-01-28,193426935.944432
2022-01-29,193426935.944432
2022-01-30,190530143.19354087
2022-01-31,190530143.19354087
2022-02-01,190530143.19354087
2022-02-02,190530143.19354087
2022-02-03,194881874.36876577
2022-02-04,194881874.36876577
2022-02-05,194881874.36876577
2022-02-06,194881874.36876577
2022-02-07,189714890.12531072
2022-02-08,189714890.12531072
