"Date","Price","Open","High","Low","Vol.","Change %"
"01/14/2022","169.67","170.22","170.56","169.48","7.87M","-0.29%"
"01/13/2022","170.16","170.09","170.22","169.27","6.65M","-0.34%"
"01/12/2022","170.74","170.19","170.75","170.01","6.18M","0.26%"
"01/11/2022","170.29","168.44","170.31","168.37","8.32M","1.21%"
"01/10/2022","168.26","167.36","168.30","167.31","6.84M","0.30%"
"01/07/2022","167.75","167.37","168.01","166.86","8.19M","0.46%"
"01/06/2022","166.99","167.16","167.75","166.86","10.50M","-1.22%"
"01/05/2022","169.06","170.62","170.93","168.90","8.58M","-0.30%"
"01/04/2022","169.57","168.90","169.72","168.73","6.93M","0.74%"
"01/03/2022","168.33","168.86","169.01","168.00","8.91M","-1.54%"
"12/31/2021","170.96","170.53","171.04","170.04","7.04M","0.68%"
"12/30/2021","169.80","168.43","169.81","168.37","5.42M","0.72%"
"12/29/2021","168.59","167.36","168.69","167.28","5.88M","-0.03%"
"12/28/2021","168.64","169.33","169.65","168.62","4.47M","-0.43%"
"12/27/2021","169.37","168.96","169.42","168.78","4.48M","0.24%"
"12/23/2021","168.97","168.69","169.16","168.01","4.55M","0.23%"
"12/22/2021","168.59","167.58","168.64","167.11","4.63M","0.94%"
"12/21/2021","167.02","167.69","167.78","166.74","4.45M","-0.04%"
"12/20/2021","167.09","167.88","168.00","167.06","6.87M","-0.42%"
"12/17/2021","167.80","168.73","169.13","167.78","9.87M","-0.21%"
"12/16/2021","168.16","167.01","168.18","166.94","11.04M","1.21%"
"12/15/2021","166.15","165.27","166.40","163.80","14.21M","0.43%"
"12/14/2021","165.44","165.34","166.14","165.16","8.58M","-0.93%"
"12/13/2021","167.00","166.90","167.26","166.67","6.46M","0.25%"
"12/10/2021","166.58","166.72","166.91","166.18","6.45M","0.42%"
"12/09/2021","165.88","166.54","166.58","165.65","4.91M","-0.61%"
"12/08/2021","166.90","166.51","166.96","166.28","4.25M","0.05%"
"12/07/2021","166.81","166.20","167.08","166.18","4.59M","0.35%"
