Time,Mempool_size
2021-05-30,62077080.21875
2021-05-31,62077080.21875
2021-06-01,21681535.661458332
2021-06-02,21681535.661458332
2021-06-03,3354382.390625
2021-06-04,3354382.390625
2021-06-05,2625214.53125
2021-06-06,2625214.53125
2021-06-07,2854931.21875
2021-06-08,2854931.21875
2021-06-09,5269265.864583333
2021-06-10,5269265.864583333
2021-06-11,25073805.302083332
2021-06-12,25073805.302083332
2021-06-13,25073805.302083332
2021-06-14,2100211.6822916665
2021-06-15,2100211.6822916665
2021-06-16,4346173.270833333
2021-06-17,4346173.270833333
2021-06-18,1530013.84375
2021-06-19,1530013.84375
2021-06-20,19719671.098958332
2021-06-21,19719671.098958332
2021-06-22,21505660.40625
2021-06-23,21505660.40625
2021-06-24,25219574.177083332
2021-06-25,25219574.177083332
2021-06-26,25219574.177083332
2021-06-27,9916195.552083334
2021-06-28,9916195.552083334
2021-06-29,32543919.322916668
2021-06-30,32543919.322916668
2021-07-01,49071323.770833336
2021-07-02,49071323.770833336
2021-07-03,52914086.817708336
2021-07-04,52914086.817708336
2021-07-05,6072118.25
2021-07-06,6072118.25
2021-07-07,2374366.7552083335
2021-07-08,2374366.7552083335
2021-07-09,2374366.7552083335
2021-07-10,3122635.1510416665
2021-07-11,3122635.1510416665
2021-07-12,1682032.5520833333
2021-07-13,1682032.5520833333
2021-07-14,2349425.484375
2021-07-15,2349425.484375
2021-07-16,2974101.546875
2021-07-17,2974101.546875
2021-07-18,817737.515625
2021-07-19,817737.515625
2021-07-20,8454248.541666666
2021-07-21,8454248.541666666
2021-07-22,8454248.541666666
2021-07-23,1098834.3229166667
2021-07-24,1098834.3229166667
2021-07-25,940739.984375
2021-07-26,940739.984375
2021-07-27,2765547.6822916665
2021-07-28,2765547.6822916665
2021-07-29,1284433.8333333333
2021-07-30,1284433.8333333333
2021-07-31,924969.0260416666
2021-08-01,924969.0260416666
2021-08-02,3387211.265625
2021-08-03,3387211.265625
2021-08-04,3387211.265625
2021-08-05,3901167.2083333335
2021-08-06,3901167.2083333335
2021-08-07,1499014.125
2021-08-08,1499014.125
2021-08-09,1178449.8125
2021-08-10,1178449.8125
2021-08-11,1054155.2135416667
2021-08-12,1054155.2135416667
2021-08-13,2697783.2552083335
2021-08-14,2697783.2552083335
2021-08-15,1244977.4427083333
2021-08-16,1244977.4427083333
2021-08-17,1244977.4427083333
2021-08-18,4106878.9739583335
2021-08-19,4106878.9739583335
2021-08-20,1992635.0625
2021-08-21,1992635.0625
2021-08-22,810726.453125
2021-08-23,810726.453125
2021-08-24,1715241.7291666667
2021-08-25,1715241.7291666667
2021-08-26,1059354.3697916667
2021-08-27,1059354.3697916667
2021-08-28,1183636.3125
2021-08-29,1183636.3125
2021-08-30,1183636.3125
2021-08-31,3670169.7447916665
2021-09-01,3670169.7447916665
2021-09-02,6691529.505208333
2021-09-03,6691529.505208333
2021-09-04,1770722.9114583333
2021-09-05,1770722.9114583333
2021-09-06,2099858.2239583335
2021-09-07,2099858.2239583335
2021-09-08,4623086.354166667
2021-09-09,4623086.354166667
2021-09-10,3583336.8854166665
2021-09-11,3583336.8854166665
2021-09-12,3583336.8854166665
2021-09-13,892257.296875
2021-09-14,892257.296875
2021-09-15,2431736.1145833335
2021-09-16,2431736.1145833335
2021-09-17,9475188.09375
2021-09-18,9475188.09375
2021-09-19,806055.59375
2021-09-20,806055.59375
2021-09-21,2358277.8489583335
2021-09-22,2358277.8489583335
2021-09-23,1227058.5260416667
2021-09-24,1227058.5260416667
2021-09-25,1227058.5260416667
2021-09-26,797181.6354166666
2021-09-27,797181.6354166666
2021-09-28,1631855.7708333333
2021-09-29,1631855.7708333333
2021-09-30,11509593.359375
2021-10-01,11509593.359375
2021-10-02,7704739.71875
2021-10-03,7704739.71875
2021-10-04,3354259.40625
2021-10-05,3354259.40625
2021-10-06,7525839.104166667
2021-10-07,7525839.104166667
2021-10-08,7525839.104166667
2021-10-09,10975697.427083334
2021-10-10,10975697.427083334
2021-10-11,1037917.046875
2021-10-12,1037917.046875
2021-10-13,4194932.65625
2021-10-14,4194932.65625
2021-10-15,4218306.442708333
2021-10-16,4218306.442708333
2021-10-17,1493136.15625
2021-10-18,1493136.15625
2021-10-19,2922070.0260416665
2021-10-20,2922070.0260416665
2021-10-21,2922070.0260416665
2021-10-22,8543025.432291666
2021-10-23,8543025.432291666
2021-10-24,1164096.9322916667
2021-10-25,1164096.9322916667
2021-10-26,1466637.9739583333
2021-10-27,1466637.9739583333
2021-10-28,1176749.375
2021-10-29,1176749.375
2021-10-30,1009985.75
2021-10-31,1009985.75
2021-11-01,4745690.135416667
2021-11-02,4745690.135416667
2021-11-03,4745690.135416667
2021-11-04,2719246.6875
2021-11-05,2719246.6875
2021-11-06,2713336.359375
2021-11-07,2713336.359375
2021-11-08,2588766.703125
2021-11-09,2588766.703125
2021-11-10,9136028.505208334
2021-11-11,9136028.505208334
2021-11-12,2115341.8802083335
2021-11-13,2115341.8802083335
2021-11-14,859100.9427083334
2021-11-15,859100.9427083334
2021-11-16,859100.9427083334
2021-11-17,1941457.9791666667
2021-11-18,1941457.9791666667
2021-11-19,2401974.1927083335
2021-11-20,2401974.1927083335
2021-11-21,1137036.6666666667
2021-11-22,1137036.6666666667
2021-11-23,2421834.828125
2021-11-24,2421834.828125
2021-11-25,2436688.7708333335
2021-11-26,2436688.7708333335
2021-11-27,947509.953125
2021-11-28,947509.953125
2021-11-29,947509.953125
2021-11-30,2279623.7604166665
2021-12-01,2279623.7604166665
2021-12-02,30397290.760416668
2021-12-03,30397290.760416668
2021-12-04,1290192.84375
2021-12-05,1290192.84375
2021-12-06,1203235.6145833333
2021-12-07,1203235.6145833333
2021-12-08,6289073.932291667
2021-12-09,6289073.932291667
2021-12-10,1817892.1927083333
2021-12-11,1817892.1927083333
2021-12-12,1817892.1927083333
2021-12-13,640968.90625
2021-12-14,640968.90625
2021-12-15,1930935.3177083333
2021-12-16,1930935.3177083333
2021-12-17,3215940.578125
2021-12-18,3215940.578125
2021-12-19,725792.1979166666
2021-12-20,725792.1979166666
2021-12-21,1724876.640625
2021-12-22,1724876.640625
2021-12-23,1958456.9635416667
2021-12-24,1958456.9635416667
2021-12-25,1958456.9635416667
2021-12-26,7152415.703125
2021-12-27,7152415.703125
